keyword,locale,tool_name,target_market,exported_at,source_file,source_sheet,source_row,matched_seed,product_evidence,relevance_score,intent_risk,recommendation,semantic_status,semantic_reason,average_monthly_searches,competition,competition_index,three_month_change,year_over_year_change,raw_metrics
best digital signage solution,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,50,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,68,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""68"", ""Top of page bid (high range)"": ""221.54"", ""Top of page bid (low range)"": ""58.48""}"
best displays for digital signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,81,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,∞,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
cafe menu display boards,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,107,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,36,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""36""}"
digital advertising player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,93,digital signage player,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
digital board near me,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,109,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
digital display board for restaurant,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,52,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,86,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""86""}"
digital display player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,55,digital signage player,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,50,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""50""}"
digital menu price,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,84,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,37,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""37""}"
digital menu signage,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,39,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,79,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""79"", ""Top of page bid (high range)"": ""97.07"", ""Top of page bid (low range)"": ""33.94""}"
digital menu solutions,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,57,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,63,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""63"", ""Top of page bid (high range)"": ""96.78"", ""Top of page bid (low range)"": ""42.06""}"
digital menu system,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,51,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,82,0%,-90%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""82"", ""Top of page bid (high range)"": ""295.78"", ""Top of page bid (low range)"": ""43.80""}"
digital price board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,59,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,57,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""57"", ""Top of page bid (high range)"": ""51.37"", ""Top of page bid (low range)"": ""33.79""}"
digital restaurant menu display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,102,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,95,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""95"", ""Top of page bid (high range)"": ""260.52"", ""Top of page bid (low range)"": ""76.51""}"
digital restaurant menu sign,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,112,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,-100%,-100%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
digital sign boards for restaurants,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,90,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,71,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""71""}"
digital signage for restaurant menu,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,63,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
digital signage media,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,45,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,0,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""0""}"
digital signage media box,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,94,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,0%,-100%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
electronic menu boards for restaurants,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,48,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,78,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""78"", ""Top of page bid (high range)"": ""164.26"", ""Top of page bid (low range)"": ""20.66""}"
electronic menu display board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,49,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""57.73"", ""Top of page bid (low range)"": ""13.43""}"
food menu boards,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,113,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""49.34"", ""Top of page bid (low range)"": ""2.01""}"
food menu display board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,101,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
lcd menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,54,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,95,0%,-90%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""95"", ""Top of page bid (high range)"": ""40.45"", ""Top of page bid (low range)"": ""15.62""}"
media signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,31,digital signage player,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,27,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""27"", ""Top of page bid (high range)"": ""89.37"", ""Top of page bid (low range)"": ""29.19""}"
menu board cost,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,115,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,86,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""86""}"
menu board screens,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,64,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,67,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""67"", ""Top of page bid (high range)"": ""87.73"", ""Top of page bid (low range)"": ""9.93""}"
menu board system,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,83,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,95,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""95""}"
network signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,99,digital signage player,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,-100%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
pizza menu boards,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,104,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
programmable menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,71,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""115.82"", ""Top of page bid (low range)"": ""17.19""}"
restaurant digital menu display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,77,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,低,24,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""低"", ""Competition (indexed value)"": ""24""}"
restaurant menu board display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,116,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""61.11"", ""Top of page bid (low range)"": ""5.33""}"
restaurant menu display board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,80,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""61.11"", ""Top of page bid (low range)"": ""5.33""}"
screen menu board,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,53,digital menu board,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,-100%,-100%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
signage app for android,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,72,android digital signage,PF-001;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,未知,,0%,-100%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
signage player box,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,68,digital signage player,PF-002;PF-003,67,,REVIEW_RELEVANT,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""43.33"", ""Top of page bid (low range)"": ""13.25""}"
electronic menu,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,41,digital menu board,PF-002;PF-003,50,,REVIEW_RELEVANT,PENDING_REVIEW,,5000,低,23,0%,0%,"{""Avg. monthly searches"": ""5000"", ""Competition"": ""低"", ""Competition (indexed value)"": ""23"", ""Top of page bid (high range)"": ""28.51"", ""Top of page bid (low range)"": ""2.09""}"
signage menu,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,100,android digital signage,PF-001;PF-003,50,,REVIEW_RELEVANT,PENDING_REVIEW,,500,高,100,-90%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""55.53"", ""Top of page bid (low range)"": ""6.78""}"
screenly player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,37,digital signage player,PF-002;PF-003,50,,REVIEW_RELEVANT,PENDING_REVIEW,,50,中,59,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""中"", ""Competition (indexed value)"": ""59"", ""Top of page bid (high range)"": ""92.24"", ""Top of page bid (low range)"": ""33.16""}"
cloud based digital signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,85,digital signage player,PF-002;PF-003,100,cloud,REVIEW_INTENT_RISK,PENDING_REVIEW,,50,未知,,-100%,-100%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""未知""}"
cloud signage player,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,43,digital signage player,PF-002;PF-003,67,cloud,REVIEW_INTENT_RISK,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100""}"
electronic menu for restaurants,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,75,digital menu board,PF-002;PF-003,33,,LOW_RELEVANCE,PENDING_REVIEW,,500,高,90,0%,0%,"{""Avg. monthly searches"": ""500"", ""Competition"": ""高"", ""Competition (indexed value)"": ""90"", ""Top of page bid (high range)"": ""150.24"", ""Top of page bid (low range)"": ""32.69""}"
digital media screens,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,26,android digital signage,PF-001;PF-003,33,,LOW_RELEVANCE,PENDING_REVIEW,,50,高,100,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""105.18"", ""Top of page bid (low range)"": ""34.77""}"
electronic menu display,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,66,digital menu board,PF-002;PF-003,33,,LOW_RELEVANCE,PENDING_REVIEW,,50,高,97,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""97"", ""Top of page bid (high range)"": ""108.30"", ""Top of page bid (low range)"": ""16.63""}"
electronic menu signs,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,61,digital menu board,PF-002;PF-003,33,,LOW_RELEVANCE,PENDING_REVIEW,,50,高,95,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""95"", ""Top of page bid (high range)"": ""42.29"", ""Top of page bid (low range)"": ""20.22""}"
lcd screen for restaurant menu,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,62,digital menu board,PF-002;PF-003,33,,LOW_RELEVANCE,PENDING_REVIEW,,50,高,98,0%,0%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""98""}"
restaurant menu display screen,en-US,Google Keyword Planner,United States,2026-08-18,Keyword Stats 2026-08-18 at 16_01_51.csv,,36,digital menu board,PF-002;PF-003,33,,LOW_RELEVANCE,PENDING_REVIEW,,50,高,100,0%,-90%,"{""Avg. monthly searches"": ""50"", ""Competition"": ""高"", ""Competition (indexed value)"": ""100"", ""Top of page bid (high range)"": ""97.73"", ""Top of page bid (low range)"": ""20.22""}"
